               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.102,            0.024009,                   0,           0.0047042,             0.26531,            0.017705,           0.0053441,            0.083879,            0.016705,                   0,            0.070345,            0.003295,            0.003295
                   1,            0.077687,            0.018395,                   0,             0.72189,             0.15646,              0.2165,            0.084798,            0.075667,            0.013492,                   0,            0.040279,           0.0065627,           0.0065627
                   2,            0.069222,            0.017265,                   0,             0.51707,             0.22581,             0.19106,            0.071841,            0.067677,             0.01437,                   0,            0.010148,           0.0097644,           0.0097644
                   3,            0.057774,            0.016354,                   0,             0.38332,             0.26531,             0.16637,            0.063503,            0.060636,             0.01306,                   0,            0.009703,            0.009703,            0.009703
                   4,             0.05155,            0.014218,                   0,              0.5182,             0.28571,             0.33963,             0.15682,            0.051536,            0.012095,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.047742,              0.0119,                   0,             0.51457,             0.45578,             0.41429,             0.15519,            0.049312,             0.01135,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.045247,            0.010232,                   0,             0.69606,              0.4966,             0.58141,             0.23333,            0.046997,            0.010316,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.043836,           0.0096503,                   0,             0.73407,             0.48299,             0.61247,             0.27548,            0.045094,           0.0093687,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.040246,           0.0091947,                   0,             0.68142,             0.57823,             0.64496,             0.28235,            0.043804,           0.0092417,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.040878,           0.0090008,                   0,             0.71986,             0.65306,             0.71188,             0.31857,              0.0428,           0.0085541,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.039046,           0.0087332,                   0,             0.74747,             0.69388,             0.74216,             0.34261,            0.041658,           0.0083978,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.037466,           0.0082559,                   0,             0.78194,             0.59864,             0.68813,             0.32868,            0.042829,           0.0084034,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.036121,           0.0079098,                   0,             0.77395,             0.64626,             0.71539,             0.30912,            0.043897,            0.008053,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.036552,           0.0078318,                   0,             0.68351,             0.68707,              0.7201,             0.31948,            0.042565,           0.0084442,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.036184,           0.0080759,                   0,              0.7822,              0.7483,             0.77655,             0.32691,            0.040101,           0.0078404,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.033444,           0.0079809,                   0,             0.83037,             0.71429,             0.78394,             0.35349,            0.038508,           0.0083638,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.033861,            0.007642,                   0,              0.8377,             0.73737,             0.80264,             0.34303,            0.039895,           0.0078498,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.033386,           0.0076704,                   0,             0.82985,             0.70068,             0.75381,             0.32106,            0.042574,           0.0087845,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.033677,            0.007631,                   0,             0.86016,             0.66949,             0.76576,             0.33943,            0.039859,           0.0090593,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.033417,           0.0074458,                   0,              0.8545,             0.67347,              0.7579,             0.36844,            0.039482,            0.008164,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.032154,           0.0070209,                   0,             0.85857,             0.72109,              0.8005,             0.35889,            0.039927,           0.0079463,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.032201,           0.0071488,                   0,              0.9025,              0.6927,             0.78864,             0.36627,            0.040475,           0.0079311,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.032848,           0.0074301,                   0,             0.85312,             0.71123,             0.80428,             0.35486,            0.041347,           0.0077566,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.032027,           0.0070531,                   0,             0.79207,              0.7415,             0.77986,             0.37223,            0.039283,           0.0084315,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.031025,           0.0072077,                   0,             0.83613,              0.6942,             0.76318,             0.35671,            0.039787,           0.0080691,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.030387,           0.0069077,                   0,             0.87469,             0.72789,             0.80558,              0.3833,            0.038574,           0.0085492,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.030632,           0.0070339,                   0,             0.86106,              0.7415,             0.79119,             0.36665,            0.038194,           0.0082721,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.030724,           0.0067685,                   0,             0.87487,             0.68707,             0.78081,             0.36267,            0.038775,            0.008402,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.030723,           0.0071212,                   0,             0.87178,             0.78231,             0.81386,             0.37433,            0.037259,           0.0081175,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.029005,           0.0069335,                   0,             0.87257,             0.74534,             0.80297,             0.39554,            0.036514,           0.0087146,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.029408,           0.0068383,                   0,             0.83792,              0.7619,             0.80778,             0.39556,            0.036583,            0.008551,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.028755,           0.0069025,                   0,             0.91135,              0.7483,              0.8181,             0.38063,            0.038661,           0.0078757,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.028968,           0.0066895,                   0,             0.88369,             0.73469,             0.80416,              0.3707,            0.039245,           0.0088828,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.028085,           0.0068675,                   0,             0.82949,             0.79428,             0.83015,             0.38246,            0.038042,           0.0081379,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.027661,           0.0066201,                   0,             0.85677,             0.80952,             0.84049,             0.40026,            0.035869,           0.0084355,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.027536,           0.0064482,                   0,             0.85207,              0.7415,             0.81114,             0.38512,            0.036315,           0.0083461,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.027781,            0.007056,                   0,             0.85987,             0.79313,             0.84509,             0.38583,             0.03613,           0.0082109,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.027207,           0.0066615,                   0,             0.93001,             0.72109,             0.83196,             0.37635,            0.035992,           0.0087419,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.027502,           0.0068258,                   0,             0.84295,             0.76679,             0.79422,             0.38147,            0.036177,            0.008806,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.026697,           0.0061818,                   0,              0.7989,              0.7483,              0.7657,             0.35907,            0.037249,           0.0085992,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.026863,           0.0065163,                   0,             0.88128,             0.70068,             0.81289,             0.39902,            0.035488,           0.0082247,                   0,            0.006139,            0.006139,            0.006139
                  41,             0.02638,           0.0064919,                   0,             0.87305,             0.74856,             0.81838,              0.3909,            0.035619,            0.008214,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.026023,           0.0060937,                   0,             0.83038,             0.77551,             0.81163,             0.38914,             0.03716,           0.0083431,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.026648,           0.0064913,                   0,             0.85798,             0.72789,             0.77847,             0.36665,            0.037292,           0.0081069,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.026177,           0.0063348,                   0,             0.86527,             0.78643,             0.80637,             0.39112,            0.035018,           0.0080406,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.025946,           0.0061893,                   0,              0.8847,             0.78299,             0.81927,             0.39425,            0.035876,           0.0079763,                   0,            0.005644,            0.005644,            0.005644
                  46,             0.02644,           0.0063426,                   0,             0.83793,             0.80895,             0.82508,             0.37087,            0.036344,           0.0076254,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.025515,           0.0061283,                   0,             0.84277,             0.78231,             0.81596,             0.39144,            0.034745,           0.0082242,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.024349,           0.0061103,                   0,             0.87559,             0.78912,             0.84021,              0.3955,            0.035098,           0.0077515,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.025485,           0.0065091,                   0,             0.86941,             0.76871,             0.83831,             0.39266,            0.035849,           0.0081542,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.025249,           0.0060232,                   0,             0.93165,              0.7551,             0.84838,             0.38864,            0.034703,           0.0080215,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.024592,           0.0061496,                   0,             0.86857,             0.76429,             0.80539,              0.3842,            0.034101,           0.0078362,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.024175,           0.0060989,                   0,             0.89237,             0.73327,             0.81148,             0.38899,            0.034654,           0.0084717,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.023923,            0.006201,                   0,             0.90695,              0.7619,             0.82599,             0.37219,            0.035595,           0.0076167,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.023854,           0.0059899,                   0,              0.8589,             0.72109,             0.76787,             0.39274,            0.034773,           0.0079812,                   0,            0.004753,            0.004753,            0.004753
                  55,             0.02421,           0.0060368,                   0,             0.86737,             0.78912,             0.81792,             0.39927,            0.035152,           0.0083337,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.023653,           0.0061699,                   0,             0.88547,              0.7551,             0.80606,             0.39754,            0.034746,           0.0085612,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.023271,           0.0062264,                   0,             0.84769,              0.7551,             0.77822,             0.36841,            0.035922,           0.0082082,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.023072,           0.0059977,                   0,             0.84913,             0.76574,              0.8034,             0.37852,             0.03589,           0.0084723,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.022917,             0.00588,                   0,              0.8216,             0.80272,              0.8136,             0.38152,            0.036279,           0.0083177,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.023057,           0.0058226,                   0,             0.88395,              0.7619,             0.83048,             0.39848,            0.035624,           0.0081848,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.022757,           0.0059374,                   0,             0.86256,             0.78912,             0.82597,             0.38919,            0.034699,           0.0081198,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.022938,           0.0059876,                   0,             0.83507,             0.79223,              0.8043,             0.38345,            0.034854,           0.0082811,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.023022,            0.005911,                   0,             0.83374,             0.78912,             0.82154,             0.39756,             0.03535,             0.00816,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.022537,            0.005695,                   0,             0.89244,             0.78912,             0.83147,             0.39994,            0.035111,           0.0081618,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.022093,           0.0057168,                   0,             0.84945,             0.80605,              0.8346,              0.4044,            0.035622,           0.0081096,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.022048,           0.0056571,                   0,             0.87384,              0.7551,             0.81225,             0.38593,            0.037601,           0.0084482,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.021657,           0.0060444,                   0,             0.84291,             0.80307,              0.8177,             0.39125,            0.035407,           0.0083903,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.021548,           0.0054864,                   0,             0.85682,             0.77349,             0.80703,             0.40628,            0.035082,           0.0086391,                   0,            0.003367,            0.003367,            0.003367
                  69,             0.02062,           0.0055448,                   0,             0.87512,             0.76273,             0.80666,             0.39739,            0.035005,           0.0085476,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.021803,            0.005635,                   0,             0.86154,             0.78912,             0.81093,             0.39723,            0.034669,           0.0085083,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.021406,            0.005565,                   0,             0.91097,             0.76565,             0.82726,             0.39052,            0.034665,           0.0086068,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.021302,           0.0056101,                   0,             0.81602,             0.79592,             0.80973,              0.3978,            0.033911,           0.0084194,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.020272,           0.0054809,                   0,             0.85746,             0.76871,             0.79372,             0.39356,            0.034086,           0.0085593,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.020718,           0.0054234,                   0,             0.87729,             0.77817,              0.8253,             0.39466,            0.034884,           0.0083266,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.020575,           0.0054682,                   0,             0.86946,             0.77551,             0.81561,             0.39363,            0.035767,           0.0085168,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.020536,           0.0055504,                   0,             0.83558,             0.80272,             0.80899,             0.40119,            0.035532,            0.008687,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.020053,           0.0054222,                   0,             0.87204,             0.76871,             0.81746,             0.39377,            0.036229,           0.0087555,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.019841,           0.0054919,                   0,             0.90091,             0.78912,             0.83581,             0.41478,            0.035805,           0.0089543,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.021009,           0.0055391,                   0,             0.89147,              0.7619,             0.81972,             0.39676,            0.035064,           0.0086925,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.020493,           0.0054332,                   0,             0.86978,             0.81633,             0.83281,             0.39438,            0.035708,           0.0087808,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.020234,           0.0053861,                   0,             0.82154,             0.82313,             0.80944,             0.39733,            0.035512,           0.0089082,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.019692,           0.0053469,                   0,               0.873,             0.84176,             0.84404,             0.40349,            0.035404,            0.008729,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.019544,           0.0054302,                   0,             0.88507,             0.78583,             0.81395,             0.38852,            0.036124,           0.0084969,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.020071,           0.0053799,                   0,             0.84863,             0.84354,             0.82512,             0.38536,            0.035373,           0.0084831,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.019459,           0.0053378,                   0,             0.82776,             0.83673,             0.82833,             0.39392,            0.035406,           0.0086738,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.019184,           0.0053693,                   0,             0.87444,             0.79592,             0.82951,             0.39972,            0.035326,           0.0086471,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.019538,           0.0053371,                   0,              0.8828,             0.80952,             0.83307,             0.40478,            0.034321,           0.0086981,                   0,            0.001486,            0.001486,            0.001486
                  88,             0.01875,           0.0051502,                   0,             0.85821,             0.82352,             0.82989,             0.40253,            0.035182,           0.0085195,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.019227,            0.005064,                   0,              0.8729,             0.79427,             0.81964,             0.39369,            0.035016,           0.0084629,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.018666,           0.0053191,                   0,              0.8645,             0.82462,             0.84062,             0.39618,            0.035361,           0.0082306,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.019184,           0.0051091,                   0,             0.83384,             0.80952,             0.82449,             0.40772,            0.034868,           0.0083245,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.018956,           0.0051475,                   0,             0.84251,             0.83702,             0.83671,             0.40227,            0.035059,           0.0081809,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.018637,           0.0051609,                   0,             0.88478,             0.78231,             0.83391,             0.40588,            0.034615,           0.0081619,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.018738,           0.0052822,                   0,              0.8512,             0.81724,             0.83601,              0.4012,            0.034385,           0.0082691,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.018424,           0.0052387,                   0,             0.84502,             0.80952,             0.82899,             0.40487,            0.034782,           0.0082823,                   0,            0.000694,            0.000694,            0.000694
                  96,             0.01791,           0.0049802,                   0,              0.8797,              0.7959,             0.83315,             0.40753,             0.03412,           0.0081817,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.018441,           0.0052239,                   0,             0.85323,             0.81633,             0.83377,             0.40929,             0.03447,           0.0082776,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.017977,           0.0052137,                   0,             0.84872,             0.80145,             0.82475,             0.41146,            0.034352,           0.0082343,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.017954,           0.0053646,                   0,             0.84746,             0.81633,             0.82957,             0.40813,            0.034366,           0.0082069,                   0,            0.000298,            0.000298,            0.000298
